Date;msci_net;msci_gross;msci_price;mwi40;mwig40_dy;mwig40tr
Dec 31, 1998; 67,50 ; 963,14 ; 892,05 ; 787,40 ;;
Jan 29, 1999; 82,81 ; 1 181,54 ; 1 094,34 ; 850,80 ;;
Feb 26, 1999; 71,22 ; 1 016,27 ; 940,62 ; 804,50 ;;
Mar 31, 1999; 78,71 ; 1 123,19 ; 1 039,59 ; 840,20 ;;
Apr 30, 1999; 87,60 ; 1 250,02 ; 1 156,97 ; 875,10 ;;
May 31, 1999; 88,65 ; 1 265,14 ; 1 170,67 ; 912,80 ;;
Jun 30, 1999; 98,70 ; 1 409,68 ; 1 299,33 ; 995,60 ;;
Jul 30, 1999; 99,45 ; 1 421,13 ; 1 306,36 ; 1 030,90 ;;
Aug 31, 1999; 100,36 ; 1 434,16 ; 1 318,34 ; 1 020,20 ;;
Sep 30, 1999; 81,14 ; 1 159,53 ; 1 065,77 ; 854,90 ;;
Oct 29, 1999; 86,25 ; 1 232,56 ; 1 132,89 ; 912,10 ;;
Nov 30, 1999; 90,36 ; 1 291,21 ; 1 186,81 ; 966,70 ;;
Dec 31, 1999; 104,56 ; 1 494,12 ; 1 373,30 ; 1 114,80 ;;
Jan 31, 2000; 110,37 ; 1 577,23 ; 1 449,69 ; 1 156,70 ;;
Feb 29, 2000; 125,66 ; 1 795,69 ; 1 650,49 ; 1 072,20 ;;
Mar 31, 2000; 124,09 ; 1 773,24 ; 1 629,85 ; 1 185,10 ;;
Apr 28, 2000; 113,52 ; 1 622,22 ; 1 491,05 ; 1 120,70 ;;
May 31, 2000; 111,40 ; 1 592,08 ; 1 462,81 ; 1 089,20 ;;
Jun 30, 2000; 111,58 ; 1 595,46 ; 1 461,87 ; 1 107,10 ;;
Jul 31, 2000; 106,22 ; 1 519,46 ; 1 389,31 ; 1 100,70 ;;
Aug 31, 2000; 101,93 ; 1 458,20 ; 1 333,17 ; 1 058,40 ;;
Sep 29, 2000; 93,00 ; 1 330,45 ; 1 216,37 ; 960,10 ;;
Oct 31, 2000; 84,95 ; 1 215,21 ; 1 111,01 ; 931,60 ;;
Nov 30, 2000; 89,97 ; 1 286,99 ; 1 176,64 ; 962,29 ;;
Dec 29, 2000; 100,00 ; 1 430,53 ; 1 307,87 ; 1 004,68 ;;
Jan 31, 2001; 97,78 ; 1 398,74 ; 1 278,81 ; 1 017,97 ;;
Feb 28, 2001; 85,30 ; 1 220,30 ; 1 115,66 ; 950,02 ;;
Mar 30, 2001; 80,14 ; 1 148,37 ; 1 041,13 ; 944,89 ;;
Apr 30, 2001; 81,53 ; 1 168,20 ; 1 059,11 ; 985,86 ;;
May 31, 2001; 83,52 ; 1 197,26 ; 1 082,60 ; 986,68 ;;
Jun 29, 2001; 72,67 ; 1 041,75 ; 941,97 ; 944,90 ;;
Jul 31, 2001; 68,27 ; 979,59 ; 880,13 ; 884,80 ;;
Aug 31, 2001; 64,70 ; 928,30 ; 834,05 ; 891,95 ;;
Sep 28, 2001; 58,28 ; 836,29 ; 751,39 ; 889,84 ;;
Oct 31, 2001; 70,70 ; 1 014,49 ; 911,49 ; 956,23 ;;
Nov 30, 2001; 71,56 ; 1 026,76 ; 922,51 ; 979,25 ;;
Dec 31, 2001; 69,18 ; 992,69 ; 891,90 ; 1 020,49 ;;
Jan 31, 2002; 82,38 ; 1 181,98 ; 1 061,98 ; 1 097,73 ;;
Feb 28, 2002; 77,41 ; 1 110,78 ; 998,01 ; 1 064,18 ;;
Mar 29, 2002; 74,55 ; 1 070,00 ; 959,81 ; 1 031,53 ;;
Apr 30, 2002; 75,04 ; 1 078,30 ; 959,51 ; 1 016,54 ;;
