Data;SPX
03.01.2005;1202,08
04.01.2005;1188,05
05.01.2005;1183,74
06.01.2005;1187,89
07.01.2005;1186,19
10.01.2005;1190,25
11.01.2005;1182,99
12.01.2005;1187,7
13.01.2005;1177,45
14.01.2005;1184,52
18.01.2005;1195,98
19.01.2005;1184,63
20.01.2005;1175,41
21.01.2005;1167,87
24.01.2005;1163,75
25.01.2005;1168,41
26.01.2005;1174,07
27.01.2005;1174,55
28.01.2005;1171,36
31.01.2005;1181,27
01.02.2005;1189,41
02.02.2005;1193,19
03.02.2005;1189,89
04.02.2005;1203,03
07.02.2005;1201,72
08.02.2005;1202,3
09.02.2005;1191,99
10.02.2005;1197,01
11.02.2005;1205,3
14.02.2005;1206,14
15.02.2005;1210,12
16.02.2005;1210,34
17.02.2005;1200,75
18.02.2005;1201,59
22.02.2005;1184,16
23.02.2005;1190,8
24.02.2005;1200,2
25.02.2005;1211,37
28.02.2005;1203,6
01.03.2005;1210,41
02.03.2005;1210,08
03.03.2005;1210,47
04.03.2005;1222,12
07.03.2005;1225,31
08.03.2005;1219,43
09.03.2005;1207,01
10.03.2005;1209,25
11.03.2005;1200,08
14.03.2005;1206,83
15.03.2005;1197,75
16.03.2005;1188,07
17.03.2005;1190,21
18.03.2005;1189,65
21.03.2005;1183,78
22.03.2005;1171,71
23.03.2005;1172,53
24.03.2005;1171,42
28.03.2005;1174,28
29.03.2005;1165,36
30.03.2005;1181,41
31.03.2005;1180,59
01.04.2005;1172,92
04.04.2005;1176,12
05.04.2005;1181,39
06.04.2005;1184,07
07.04.2005;1191,14
08.04.2005;1181,2
11.04.2005;1181,21
12.04.2005;1187,76
13.04.2005;1173,79
14.04.2005;1162,05
15.04.2005;1142,62
18.04.2005;1145,98
19.04.2005;1152,78
20.04.2005;1137,5
21.04.2005;1159,95
22.04.2005;1152,12
25.04.2005;1162,1
26.04.2005;1151,83
27.04.2005;1156,38
28.04.2005;1143,22
29.04.2005;1156,85
02.05.2005;1162,16
03.05.2005;1161,17
04.05.2005;1175,65
05.05.2005;1172,63
06.05.2005;1171,35
09.05.2005;1178,84
10.05.2005;1166,22
11.05.2005;1171,11
12.05.2005;1159,36
13.05.2005;1154,05
16.05.2005;1165,69
17.05.2005;1173,8
18.05.2005;1185,56
19.05.2005;1191,08
20.05.2005;1189,28
23.05.2005;1193,86
24.05.2005;1194,07
25.05.2005;1190,01
26.05.2005;1197,62
27.05.2005;1198,78
31.05.2005;1191,5
01.06.2005;1202,22
02.06.2005;1204,29
03.06.2005;1196,02
06.06.2005;1197,51
07.06.2005;1197,26
08.06.2005;1194,67
09.06.2005;1200,93
10.06.2005;1198,11
13.06.2005;1200,82
14.06.2005;1203,91
15.06.2005;1206,58
16.06.2005;1210,96
17.06.2005;1216,96
20.06.2005;1216,1
21.06.2005;1213,61
22.06.2005;1213,88
23.06.2005;1200,73
24.06.2005;1191,57
27.06.2005;1190,69
28.06.2005;1201,57
29.06.2005;1199,85
30.06.2005;1191,33
01.07.2005;1194,44
05.07.2005;1204,99
06.07.2005;1194,94
07.07.2005;1197,87
08.07.2005;1211,86
11.07.2005;1219,44
12.07.2005;1222,21
13.07.2005;1223,29
14.07.2005;1226,5
15.07.2005;1227,92
18.07.2005;1221,13
19.07.2005;1229,35
20.07.2005;1235,2
21.07.2005;1227,04
22.07.2005;1233,68
25.07.2005;1229,03
26.07.2005;1231,16
27.07.2005;1236,79
28.07.2005;1243,72
29.07.2005;1234,18
01.08.2005;1235,35
02.08.2005;1244,12
03.08.2005;1245,04
04.08.2005;1235,86
05.08.2005;1226,42
08.08.2005;1223,13
09.08.2005;1231,38
10.08.2005;1229,13
11.08.2005;1237,81
12.08.2005;1230,39
15.08.2005;1233,87
16.08.2005;1219,34
17.08.2005;1220,24
18.08.2005;1219,02
19.08.2005;1219,71
22.08.2005;1221,73
23.08.2005;1217,59
24.08.2005;1209,59
25.08.2005;1212,37
