Date;Yeld_10Y;Price_10Y;Stock_Price;Dividend;E;CAPE;T_Bill;CPI;Dividend_Yeld;Total_Stock_2;Total_Stock
01.12.1951;0,03;104,10;24,19;1,41;2,44;12,53;0,02;26,50;0,06;24,00;24,00
01.01.1952;0,02;104,77;23,75;1,42;2,43;12,36;0,02;26,30;0,06;23,68;23,68
01.02.1952;0,03;103,59;23,81;1,42;2,41;12,36;0,02;26,30;0,06;23,86;23,86
01.03.1952;0,03;104,82;23,74;1,43;2,40;12,24;0,02;26,40;0,06;23,91;23,91
01.04.1952;0,02;105,81;23,73;1,44;2,38;12,20;0,02;26,40;0,06;24,02;24,02
01.05.1952;0,02;106,37;24,38;1,45;2,36;12,45;0,02;26,50;0,06;24,80;24,80
01.06.1952;0,02;106,29;25,08;1,45;2,34;12,67;0,02;26,70;0,06;25,63;25,63
01.07.1952;0,02;106,03;25,18;1,45;2,35;12,68;0,02;26,70;0,06;25,86;25,85
01.08.1952;0,03;105,46;24,78;1,45;2,35;12,43;0,02;26,70;0,06;25,57;25,57
01.09.1952;0,03;104,47;24,26;1,44;2,36;12,13;0,02;26,70;0,06;25,16;25,16
01.10.1952;0,03;106,13;25,03;1,42;2,37;12,47;0,02;26,70;0,06;26,08;26,08
01.11.1952;0,03;106,52;26,04;1,41;2,39;12,93;0,02;26,70;0,05;27,26;27,25
01.12.1952;0,03;106,40;26,18;1,41;2,40;13,01;0,02;26,60;0,05;27,53;27,52
01.01.1953;0,03;105,77;25,86;1,41;2,41;12,86;0,02;26,50;0,05;27,31;27,30
01.02.1953;0,03;105,36;25,99;1,41;2,42;12,83;0,02;26,60;0,05;27,57;27,57
01.03.1953;0,03;105,37;24,71;1,41;2,43;12,16;0,02;26,60;0,06;26,34;26,34
01.04.1953;0,03;103,36;24,84;1,42;2,46;12,14;0,02;26,70;0,06;26,61;26,60
01.05.1953;0,03;100,98;23,95;1,42;2,48;11,62;0,02;26,80;0,06;25,78;25,78
01.06.1953;0,03;103,86;24,29;1,42;2,51;11,75;0,02;26,80;0,06;26,27;26,27
01.07.1953;0,03;104,25;24,39;1,42;2,52;11,72;0,02;26,90;0,06;26,51;26,51
01.08.1953;0,03;103,62;23,27;1,42;2,54;11,14;0,02;26,90;0,06;25,42;25,43
01.09.1953;0,03;107,81;23,97;1,43;2,55;11,39;0,02;27,00;0,06;26,31;26,32
01.10.1953;0,03;107,51;24,50;1,44;2,54;11,64;0,01;26,90;0,06;27,03;27,03
01.11.1953;0,03;107,36;24,83;1,45;2,52;11,75;0,01;26,90;0,06;27,53;27,52
01.12.1953;0,02;110,11;25,46;1,46;2,51;12,00;0,02;26,90;0,06;28,36;28,35
01.01.1954;0,02;110,23;26,02;1,46;2,52;12,22;0,01;26,90;0,06;29,12;29,11
01.02.1954;0,02;110,71;26,57;1,47;2,54;12,42;0,01;26,90;0,06;29,87;29,86
01.03.1954;0,02;111,36;27,63;1,46;2,55;12,91;0,01;26,80;0,05;31,20;31,18
01.04.1954;0,02;112,40;28,73;1,46;2,57;13,31;0,01;26,90;0,05;32,58;32,56
01.05.1954;0,03;110,93;28,96;1,45;2,60;13,36;0,01;26,90;0,05;32,98;32,95
01.06.1954;0,02;111,97;30,13;1,46;2,62;13,83;0,01;26,90;0,05;34,45;34,42
01.07.1954;0,02;112,57;30,73;1,46;2,62;14,04;0,01;26,90;0,05;35,27;35,24
01.08.1954;0,02;112,13;31,45;1,47;2,63;14,36;0,01;26,80;0,05;36,24;36,20
01.09.1954;0,02;112,35;32,18;1,49;2,63;14,62;0,01;26,80;0,05;37,22;37,18
01.10.1954;0,02;112,73;33,44;1,52;2,68;15,12;0,01;26,80;0,05;38,83;38,78
01.11.1954;0,02;112,42;34,97;1,54;2,72;15,79;0,01;26,70;0,04;40,75;40,69
01.12.1954;0,02;112,57;35,60;1,55;2,77;15,99;0,01;26,70;0,04;41,64;41,57
01.01.1955;0,03;111,43;36,79;1,55;2,83;16,44;0,01;26,70;0,04;43,18;43,11
01.02.1955;0,03;111,05;36,50;1,56;2,90;16,22;0,01;26,70;0,04;42,99;42,92
01.03.1955;0,03;111,43;37,76;1,56;2,96;16,69;0,01;26,70;0,04;44,63;44,55
01.04.1955;0,03;111,07;37,60;1,57;3,05;16,52;0,02;26,70;0,04;44,60;44,52
01.05.1955;0,03;111,63;39,78;1,57;3,13;17,37;0,01;26,70;0,04;47,34;47,25
01.06.1955;0,03;110,68;42,69;1,59;3,22;18,45;0,01;26,80;0,04;50,96;50,85
01.07.1955;0,03;109,72;42,43;1,60;3,29;18,22;0,02;26,80;0,04;50,81;50,70
01.08.1955;0,03;110,20;44,34;1,62;3,37;18,84;0,02;26,90;0,04;53,25;53,14
01.09.1955;0,03;111,15;42,11;1,63;3,44;17,77;0,02;26,90;0,04;50,74;50,64
01.10.1955;0,03;112,19;44,95;1,63;3,50;18,84;0,02;26,90;0,04;54,32;54,20
01.11.1955;0,03;111,58;45,37;1,64;3,56;18,94;0,02;26,80;0,04;55,00;54,87
01.12.1955;0,03;111,55;44,15;1,67;3,62;18,29;0,03;26,80;0,04;53,69;53,57
01.01.1956;0,03;112,90;44,43;1,70;3,64;18,27;0,02;26,80;0,04;54,20;54,08
01.02.1956;0,03;112,92;47,49;1,73;3,67;19,37;0,02;26,80;0,04;58,11;57,97
01.03.1956;0,03;110,90;48,05;1,75;3,69;19,37;0,02;26,90;0,04;58,97;58,83
01.04.1956;0,03;111,24;46,54;1,78;3,66;18,54;0,03;27,00;0,04;57,30;57,17
01.05.1956;0,03;113,13;46,27;1,80;3,63;18,16;0,03;27,20;0,04;57,15;57,02
01.06.1956;0,03;112,72;48,78;1,81;3,60;18,86;0,02;27,40;0,04;60,44;60,29
01.07.1956;0,03;110,84;48,49;1,83;3,55;18,67;0,02;27,30;0,04;60,27;60,12
01.08.1956;0,03;109,08;46,84;1,84;3,51;17,84;0,03;27,40;0,04;58,41;58,27
01.09.1956;0,03;110,06;46,24;1,81;3,46;17,42;0,03;27,50;0,04;57,85;57,72
01.10.1956;0,03;109,17;45,76;1,77;3,44;17,12;0,03;27,50;0,04;57,43;57,30
01.11.1956;0,04;109,24;46,44;1,74;3,43;17,20;0,03;27,60;0,04;58,47;58,33
01.12.1956;0,04;107,63;45,43;1,74;3,41;16,72;0,03;27,60;0,04;57,38;57,25
01.01.1957;0,03;112,45;43,47;1,73;3,41;15,84;0,03;27,70;0,04;55,09;54,97
01.02.1957;0,03;111,41;44,03;1,73;3,40;15,90;0,03;27,80;0,04;55,98;55,86
01.03.1957;0,03;111,61;45,05;1,73;3,40;16,12;0,03;27,90;0,04;57,46;57,33
01.04.1957;0,04;110,47;46,78;1,73;3,41;16,60;0,03;28,00;0,04;59,85;59,71
01.05.1957;0,04;109,45;47,55;1,73;3,41;16,73;0,03;28,10;0,04;61,02;60,88
01.06.1957;0,04;107,89;48,51;1,74;3,42;16,87;0,03;28,30;0,04;62,44;62,29
01.07.1957;0,04;108,27;45,84;1,75;3,44;15,87;0,03;28,30;0,04;59,19;59,06
01.08.1957;0,04;109,33;43,98;1,76;3,45;15,16;0,03;28,30;0,04;56,98;56,86
01.09.1957;0,04;107,84;41,24;1,77;3,47;14,15;0,04;28,30;0,04;53,62;53,52
01.10.1957;0,04;109,04;40,35;1,78;3,44;13,74;0,04;28,40;0,04;52,65;52,56
01.11.1957;0,03;114,61;40,33;1,79;3,40;13,67;0,03;28,40;0,04;52,82;52,73
01.12.1957;0,03;117,87;41,12;1,78;3,37;13,79;0,03;28,60;0,04;54,05;53,95
01.01.1958;0,03;117,10;41,26;1,78;3,29;13,78;0,02;28,60;0,04;54,43;54,33
01.02.1958;0,03;118,58;42,11;1,77;3,22;13,93;0,02;28,80;0,04;55,75;55,64
01.03.1958;0,03;120,27;42,34;1,76;3,14;13,91;0,01;28,90;0,04;56,24;56,13
01.04.1958;0,03;121,48;43,70;1,74;3,07;14,32;0,01;28,90;0,04;58,24;58,12
01.05.1958;0,03;120,85;44,75;1,73;3,00;14,64;0,01;28,90;0,04;59,83;59,71
01.06.1958;0,03;120,29;45,98;1,73;2,93;14,96;0,01;29,00;0,04;61,67;61,54
01.07.1958;0,03;118,69;47,70;1,73;2,91;15,54;0,01;28,90;0,04;64,17;64,02
01.08.1958;0,04;113,32;48,96;1,73;2,90;15,93;0,02;28,90;0,04;66,06;65,90
01.09.1958;0,04;113,72;50,95;1,74;2,88;16,56;0,02;28,90;0,03;68,94;68,77
