Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1982-01-31,53.2,53.2,53.2,53.2
1982-02-28,106.4,106.4,106.4,106.4
1982-03-31,110.7,110.7,110.7,110.7
1982-04-30,104.1,104.1,104.1,104.1
1982-05-31,108.4,108.4,108.4,108.4
1982-06-30,111.9,111.9,111.9,111.9
1982-07-31,113.3,113.3,113.3,113.3
1982-08-31,114.9,114.9,114.9,114.9
1982-09-30,108.5,108.5,108.5,108.5
1982-10-31,101,101,101,101
1982-11-30,97.9,97.9,97.9,97.9
1982-12-31,75,75,75,75
1983-01-31,67.3,67.3,67.3,67.3
1983-02-28,31.5,31.5,31.5,31.5
1983-03-31,26.7,26.7,26.7,26.7
1983-04-30,26.9,26.9,26.9,26.9
1983-05-31,24.7,24.7,24.7,24.7
1983-06-30,23,23,23,23
1983-07-31,19.2,19.2,19.2,19.2
1983-08-31,19.3,19.3,19.3,19.3
1983-09-30,18.8,18.8,18.8,18.8
1983-10-31,18.5,18.5,18.5,18.5
1983-11-30,18.2,18.2,18.2,18.2
1983-12-31,18.2,18.2,18.2,18.2
1984-01-31,15.6,15.6,15.6,15.6
1984-02-29,13.4,13.4,13.4,13.4
1984-03-31,12.4,12.4,12.4,12.4
1984-04-30,11.4,11.4,11.4,11.4
1984-05-31,12.1,12.1,12.1,12.1
1984-06-30,12.9,12.9,12.9,12.9
1984-07-31,13.7,13.7,13.7,13.7
1984-08-31,12.5,12.5,12.5,12.5
1984-09-30,12.8,12.8,12.8,12.8
1984-10-31,12.6,12.6,12.6,12.6
1984-11-30,13.5,13.5,13.5,13.5
1984-12-31,14.2,14.2,14.2,14.2
1985-01-31,13.2,13.2,13.2,13.2
1985-02-28,10.3,10.3,10.3,10.3
1985-03-31,11.9,11.9,11.9,11.9
1985-04-30,11.6,11.6,11.6,11.6
1985-05-31,11.8,11.8,11.8,11.8
1985-06-30,13,13,13,13
1985-07-31,15.1,15.1,15.1,15.1
1985-08-31,15.4,15.4,15.4,15.4
1985-09-30,15.9,15.9,15.9,15.9
1985-10-31,16.1,16.1,16.1,16.1
1985-11-30,15.8,15.8,15.8,15.8
1985-12-31,16.7,16.7,16.7,16.7
1986-01-31,17.1,17.1,17.1,17.1
1986-02-28,17.8,17.8,17.8,17.8
1986-03-31,18,18,18,18
1986-04-30,19.2,19.2,19.2,19.2
1986-05-31,20.5,20.5,20.5,20.5
1986-06-30,18.2,18.2,18.2,18.2
1986-07-31,14.4,14.4,14.4,14.4
1986-08-31,15.2,15.2,15.2,15.2
1986-09-30,16.3,16.3,16.3,16.3
1986-10-31,17.9,17.9,17.9,17.9
1986-11-30,17.5,17.5,17.5,17.5
1986-12-31,17.1,17.1,17.1,17.1
1987-01-31,18.1,18.1,18.1,18.1
1987-02-28,19.2,19.2,19.2,19.2
1987-03-31,17.9,17.9,17.9,17.9
1987-04-30,23.1,23.1,23.1,23.1
1987-05-31,23.9,23.9,23.9,23.9
1987-06-30,25.8,25.8,25.8,25.8
1987-07-31,29,29,29,29
1987-08-31,28.9,28.9,28.9,28.9
1987-09-30,28.5,28.5,28.5,28.5
1987-10-31,28.2,28.2,28.2,28.2
1987-11-30,29.4,29.4,29.4,29.4
1987-12-31,31.3,31.3,31.3,31.3
1988-01-31,28.4,28.4,28.4,28.4
1988-02-29,47.6,47.6,47.6,47.6
1988-03-31,53.2,53.2,53.2,53.2
1988-04-30,53.6,53.6,53.6,53.6
1988-05-31,54.7,54.7,54.7,54.7
1988-06-30,56.1,56.1,56.1,56.1
1988-07-31,59.4,59.4,59.4,59.4
1988-08-31,60.9,60.9,60.9,60.9
1988-09-30,63.8,63.8,63.8,63.8
1988-10-31,65.9,65.9,65.9,65.9
1988-11-30,68.5,68.5,68.5,68.5
1988-12-31,73.9,73.9,73.9,73.9
1989-01-31,83.2,83.2,83.2,83.2
1989-02-28,70.3,70.3,70.3,70.3
1989-03-31,74.2,74.2,74.2,74.2
1989-04-30,77.8,77.8,77.8,77.8
1989-05-31,85.4,85.4,85.4,85.4
1989-06-30,91.3,91.3,91.3,91.3
1989-07-31,103.9,103.9,103.9,103.9
1989-08-31,182.7,182.7,182.7,182.7
1989-09-30,269.2,269.2,269.2,269.2
1989-10-31,457.1,457.1,457.1,457.1
1989-11-30,557,557,557,557
1989-12-31,639.6,639.6,639.6,639.6
1990-01-31,1007.6,1007.6,1007.6,1007.6
1990-02-28,1183.1,1183.1,1183.1,1183.1
1990-03-31,1132.8,1132.8,1132.8,1132.8
1990-04-30,1102.9,1102.9,1102.9,1102.9
1990-05-31,1076.5,1076.5,1076.5,1076.5
1990-06-30,1051.2,1051.2,1051.2,1051.2
1990-07-31,994,994,994,994
1990-08-31,748.5,748.5,748.5,748.5
1990-09-30,558,558,558,558
1990-10-31,356,356,356,356
1990-11-30,285.9,285.9,285.9,285.9
1990-12-31,249.3,249.3,249.3,249.3
1991-01-31,94.9,94.9,94.9,94.9
1991-02-28,80,80,80,80
1991-03-31,81.8,81.8,81.8,81.8
1991-04-30,71,71,71,71
1991-05-31,67.8,67.8,67.8,67.8
1991-06-30,72.4,72.4,72.4,72.4
1991-07-31,68.3,68.3,68.3,68.3
1991-08-31,67.6,67.6,67.6,67.6
1991-09-30,67.1,67.1,67.1,67.1
1991-10-31,64.8,64.8,64.8,64.8
1991-11-30,62.7,62.7,62.7,62.7
1991-12-31,60.4,60.4,60.4,60.4
1992-01-31,45.4,45.4,45.4,45.4
1992-02-29,40.1,40.1,40.1,40.1
1992-03-31,38.1,38.1,38.1,38.1
1992-04-30,40.2,40.2,40.2,40.2
1992-05-31,43.2,43.2,43.2,43.2
1992-06-30,39,39,39,39
1992-07-31,41.3,41.3,41.3,41.3
1992-08-31,44.3,44.3,44.3,44.3
1992-09-30,46.5,46.5,46.5,46.5
1992-10-31,46.4,46.4,46.4,46.4
1992-11-30,45.4,45.4,45.4,45.4
1992-12-31,44.3,44.3,44.3,44.3
1993-01-31,37.5,37.5,37.5,37.5
1993-02-28,39.7,39.7,39.7,39.7
1993-03-31,39.7,39.7,39.7,39.7
1993-04-30,38.1,38.1,38.1,38.1
1993-05-31,35.8,35.8,35.8,35.8
1993-06-30,34.3,34.3,34.3,34.3
1993-07-31,34.8,34.8,34.8,34.8
1993-08-31,34.4,34.4,34.4,34.4
1993-09-30,31,31,31,31
1993-10-31,29.8,29.8,29.8,29.8
1993-11-30,33,33,33,33
1993-12-31,37.6,37.6,37.6,37.6
1994-01-31,32.4,32.4,32.4,32.4
1994-02-28,29.9,29.9,29.9,29.9
1994-03-31,30.2,30.2,30.2,30.2
1994-04-30,31.2,31.2,31.2,31.2
1994-05-31,31.2,31.2,31.2,31.2
1994-06-30,32.7,32.7,32.7,32.7
1994-07-31,32.8,32.8,32.8,32.8
1994-08-31,32.2,32.2,32.2,32.2
1994-09-30,34.6,34.6,34.6,34.6
1994-10-31,36.1,36.1,36.1,36.1
1994-11-30,33.5,33.5,33.5,33.5
1994-12-31,29.5,29.5,29.5,29.5
