Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1801-03-31,-2,-2,-2,-2
1801-06-30,-2,-2,-2,-2
1801-09-30,-2,-2,-2,-2
1801-12-31,-2,-2,-2,-2
1802-03-31,-14,-14,-14,-14
1802-06-30,-14,-14,-14,-14
1802-09-30,-14,-14,-14,-14
1802-12-31,-14,-14,-14,-14
1803-03-31,4.7,4.7,4.7,4.7
1803-06-30,4.7,4.7,4.7,4.7
1803-09-30,4.7,4.7,4.7,4.7
1803-12-31,4.7,4.7,4.7,4.7
1806-03-31,4.4,4.4,4.4,4.4
1806-06-30,4.4,4.4,4.4,4.4
1806-09-30,4.4,4.4,4.4,4.4
1806-12-31,4.4,4.4,4.4,4.4
1807-03-31,-6.4,-6.4,-6.4,-6.4
1807-06-30,-6.4,-6.4,-6.4,-6.4
1807-09-30,-6.4,-6.4,-6.4,-6.4
1807-12-31,-6.4,-6.4,-6.4,-6.4
1808-03-31,9.1,9.1,9.1,9.1
1808-06-30,9.1,9.1,9.1,9.1
1808-09-30,9.1,9.1,9.1,9.1
1808-12-31,9.1,9.1,9.1,9.1
1809-03-31,-2.1,-2.1,-2.1,-2.1
1809-06-30,-2.1,-2.1,-2.1,-2.1
1809-09-30,-2.1,-2.1,-2.1,-2.1
1809-12-31,-2.1,-2.1,-2.1,-2.1
1811-03-31,6.4,6.4,6.4,6.4
1811-06-30,6.4,6.4,6.4,6.4
1811-09-30,6.4,6.4,6.4,6.4
1811-12-31,6.4,6.4,6.4,6.4
1812-03-31,2,2,2,2
1812-06-30,2,2,2,2
1812-09-30,2,2,2,2
1812-12-31,2,2,2,2
1813-03-31,13.7,13.7,13.7,13.7
1813-06-30,13.7,13.7,13.7,13.7
1813-09-30,13.7,13.7,13.7,13.7
1813-12-31,13.7,13.7,13.7,13.7
1814-03-31,8.6,8.6,8.6,8.6
1814-06-30,8.6,8.6,8.6,8.6
1814-09-30,8.6,8.6,8.6,8.6
1814-12-31,8.6,8.6,8.6,8.6
1815-03-31,-12.7,-12.7,-12.7,-12.7
1815-06-30,-12.7,-12.7,-12.7,-12.7
1815-09-30,-12.7,-12.7,-12.7,-12.7
1815-12-31,-12.7,-12.7,-12.7,-12.7
1816-03-31,-7.3,-7.3,-7.3,-7.3
1816-06-30,-7.3,-7.3,-7.3,-7.3
1816-09-30,-7.3,-7.3,-7.3,-7.3
1816-12-31,-7.3,-7.3,-7.3,-7.3
1817-03-31,-5.9,-5.9,-5.9,-5.9
1817-06-30,-5.9,-5.9,-5.9,-5.9
1817-09-30,-5.9,-5.9,-5.9,-5.9
1817-12-31,-5.9,-5.9,-5.9,-5.9
1818-03-31,-4.2,-4.2,-4.2,-4.2
1818-06-30,-4.2,-4.2,-4.2,-4.2
1818-09-30,-4.2,-4.2,-4.2,-4.2
1818-12-31,-4.2,-4.2,-4.2,-4.2
1820-03-31,-8.7,-8.7,-8.7,-8.7
1820-06-30,-8.7,-8.7,-8.7,-8.7
1820-09-30,-8.7,-8.7,-8.7,-8.7
1820-12-31,-8.7,-8.7,-8.7,-8.7
1821-03-31,-4.8,-4.8,-4.8,-4.8
1821-06-30,-4.8,-4.8,-4.8,-4.8
1821-09-30,-4.8,-4.8,-4.8,-4.8
1821-12-31,-4.8,-4.8,-4.8,-4.8
1823-03-31,-10,-10,-10,-10
1823-06-30,-10,-10,-10,-10
1823-09-30,-10,-10,-10,-10
1823-12-31,-10,-10,-10,-10
1824-03-31,-8.3,-8.3,-8.3,-8.3
1824-06-30,-8.3,-8.3,-8.3,-8.3
1824-09-30,-8.3,-8.3,-8.3,-8.3
1824-12-31,-8.3,-8.3,-8.3,-8.3
1825-03-31,3,3,3,3
1825-06-30,3,3,3,3
1825-09-30,3,3,3,3
1825-12-31,3,3,3,3
1828-03-31,-2.9,-2.9,-2.9,-2.9
1828-06-30,-2.9,-2.9,-2.9,-2.9
1828-09-30,-2.9,-2.9,-2.9,-2.9
1828-12-31,-2.9,-2.9,-2.9,-2.9
1829-03-31,-3,-3,-3,-3
1829-06-30,-3,-3,-3,-3
1829-09-30,-3,-3,-3,-3
1829-12-31,-3,-3,-3,-3
1832-03-31,-6.3,-6.3,-6.3,-6.3
1832-06-30,-6.3,-6.3,-6.3,-6.3
1832-09-30,-6.3,-6.3,-6.3,-6.3
1832-12-31,-6.3,-6.3,-6.3,-6.3
1833-03-31,-3.3,-3.3,-3.3,-3.3
1833-06-30,-3.3,-3.3,-3.3,-3.3
1833-09-30,-3.3,-3.3,-3.3,-3.3
1833-12-31,-3.3,-3.3,-3.3,-3.3
1834-03-31,3.4,3.4,3.4,3.4
1834-06-30,3.4,3.4,3.4,3.4
1834-09-30,3.4,3.4,3.4,3.4
1834-12-31,3.4,3.4,3.4,3.4
1835-03-31,3.3,3.3,3.3,3.3
1835-06-30,3.3,3.3,3.3,3.3
1835-09-30,3.3,3.3,3.3,3.3
1835-12-31,3.3,3.3,3.3,3.3
1836-03-31,6.5,6.5,6.5,6.5
1836-06-30,6.5,6.5,6.5,6.5
1836-09-30,6.5,6.5,6.5,6.5
1836-12-31,6.5,6.5,6.5,6.5
1837-03-31,3,3,3,3
1837-06-30,3,3,3,3
1837-09-30,3,3,3,3
1837-12-31,3,3,3,3
1838-03-31,-5.9,-5.9,-5.9,-5.9
1838-06-30,-5.9,-5.9,-5.9,-5.9
1838-09-30,-5.9,-5.9,-5.9,-5.9
1838-12-31,-5.9,-5.9,-5.9,-5.9
1840-03-31,-6.3,-6.3,-6.3,-6.3
1840-06-30,-6.3,-6.3,-6.3,-6.3
1840-09-30,-6.3,-6.3,-6.3,-6.3
1840-12-31,-6.3,-6.3,-6.3,-6.3
1841-03-31,3.3,3.3,3.3,3.3
1841-06-30,3.3,3.3,3.3,3.3
1841-09-30,3.3,3.3,3.3,3.3
1841-12-31,3.3,3.3,3.3,3.3
1842-03-31,-6.5,-6.5,-6.5,-6.5
1842-06-30,-6.5,-6.5,-6.5,-6.5
1842-09-30,-6.5,-6.5,-6.5,-6.5
1842-12-31,-6.5,-6.5,-6.5,-6.5
1843-03-31,-3.4,-3.4,-3.4,-3.4
1843-06-30,-3.4,-3.4,-3.4,-3.4
1843-09-30,-3.4,-3.4,-3.4,-3.4
1843-12-31,-3.4,-3.4,-3.4,-3.4
1846-03-31,-3.6,-3.6,-3.6,-3.6
1846-06-30,-3.6,-3.6,-3.6,-3.6
1846-09-30,-3.6,-3.6,-3.6,-3.6
1846-12-31,-3.6,-3.6,-3.6,-3.6
1847-03-31,3.7,3.7,3.7,3.7
1847-06-30,3.7,3.7,3.7,3.7
1847-09-30,3.7,3.7,3.7,3.7
1847-12-31,3.7,3.7,3.7,3.7
1848-03-31,-7.1,-7.1,-7.1,-7.1
1848-06-30,-7.1,-7.1,-7.1,-7.1
1848-09-30,-7.1,-7.1,-7.1,-7.1
1848-12-31,-7.1,-7.1,-7.1,-7.1
1849-03-31,-3.8,-3.8,-3.8,-3.8
1849-06-30,-3.8,-3.8,-3.8,-3.8
