Date;ACWI_Net;USDPLN
Dec 31, 1987;100;
Jan 29, 1988;102,4931;
Feb 29, 1988;108,4049;
Mar 31, 1988;111,733;
Apr 29, 1988;113,1387;
May 31, 1988;110,885;
Jun 30, 1988;110,7529;
Jul 29, 1988;112,7848;
Aug 31, 1988;106,5688;
Sep 30, 1988;111,1306;
Oct 31, 1988;118,3833;
Nov 30, 1988;122,3294;
Dec 30, 1988;123,4087;
Jan 31, 1989;127,8293;
Feb 28, 1989;127,0232;
Mar 31, 1989;126,2733;
Apr 28, 1989;129,4011;
May 31, 1989;126,2977;
Jun 30, 1989;124,4941;
Jul 31, 1989;138,5142;
Aug 31, 1989;135,2032;
Sep 29, 1989;139,243;
Oct 31, 1989;134,7085;
Nov 30, 1989;139,9556;
Dec 29, 1989;144,4999;
Jan 31, 1990;137,8072;
Feb 28, 1990;131,9674;
Mar 30, 1990;123,7689;
Apr 30, 1990;122,1662;
May 31, 1990;134,8819;
Jun 29, 1990;133,9225;
Jul 31, 1990;135,2289;
Aug 31, 1990;122,4627;
Sep 28, 1990;109,6184;
Oct 31, 1990;119,6621;
Nov 30, 1990;117,6087;
Dec 31, 1990;120,0992;
Jan 31, 1991;124,4932;
Feb 28, 1991;136,1512;
Mar 29, 1991;132,2975;
Apr 30, 1991;133,3593;
May 31, 1991;136,4961;
Jun 28, 1991;128,119;
Jul 31, 1991;134,1712;
Aug 30, 1991;133,8473;
Sep 30, 1991;137,2028;
Oct 31, 1991;139,5361;
Nov 29, 1991;133,4759;
Dec 31, 1991;143,335;
Jan 31, 1992;141,1349;
Feb 28, 1992;138,9464;
Mar 31, 1992;132,7059;
Apr 30, 1992;134,4326;
May 29, 1992;139,5314;
Jun 30, 1992;134,5005;
Jul 31, 1992;134,8765;
Aug 31, 1992;137,8468;
Sep 30, 1992;136,6172;
Oct 30, 1992;133,2212;
Nov 30, 1992;135,3853;
Dec 31, 1992;136,6119;
Jan 29, 1993;137,0407;
Feb 26, 1993;140,209;
Mar 31, 1993;148,2101;
Apr 30, 1993;154,8825;
May 31, 1993;158,4591;
Jun 30, 1993;157,3677;
Jul 30, 1993;160,5684;
Aug 31, 1993;168,1183;
Sep 30, 1993;165,2322;
Oct 29, 1993;170,0595;
Nov 30, 1993;161,1513;
Dec 31, 1993;169,803;
Jan 31, 1994;180,9962;
Feb 28, 1994;178,3077;
Mar 31, 1994;170,225;
Apr 29, 1994;174,7863;
May 31, 1994;175,747;
Jun 30, 1994;174,8233;
Jul 29, 1994;178,623;
Aug 31, 1994;184,9143;
Sep 30, 1994;180,4983;
Oct 31, 1994;185,0523;
Nov 30, 1994;176,942;
Dec 30, 1994;177,4887;
Jan 31, 1995;173,8062;
Feb 28, 1995;175,5932;
Mar 31, 1995;183,5659;
Apr 28, 1995;190,1693;
May 31, 1995;192,1928;
Jun 30, 1995;192,1586;
Jul 31, 1995;201,3792;
Aug 31, 1995;196,8897;
Sep 29, 1995;202,2279;
Oct 31, 1995;198,7671;
Nov 30, 1995;204,9404;
Dec 29, 1995;211,0298;
Jan 31, 1996;215,6367;
Feb 29, 1996;216,4484;
Mar 29, 1996;219,6941;
Apr 30, 1996;224,9709;
May 31, 1996;225,1137;
Jun 28, 1996;226,2584;
Jul 31, 1996;217,7176;
Aug 30, 1996;220,3158;
Sep 30, 1996;228,3635;
Oct 31, 1996;229,1856;
Nov 29, 1996;241,3466;
Dec 31, 1996;237,7546;
Jan 31, 1997;241,6484;
Feb 28, 1997;244,8465;
Mar 31, 1997;239,8509;
Apr 30, 1997;247,4589;
May 30, 1997;262,1253;
Jun 30, 1997;275,434;
Jul 31, 1997;287,7783;
Aug 29, 1997;267,4723;
Sep 30, 1997;281,6301;
Oct 31, 1997;264,7486;
Nov 28, 1997;268,6931;
Dec 31, 1997;272,1136;3,52
Jan 30, 1998;277,9955;3,544
Feb 27, 1998;296,9022;3,478
Mar 31, 1998;309,452;3,449
Apr 30, 1998;312,2288;3,394
May 29, 1998;306,1801;3,486
Jun 30, 1998;311,5742;3,4845
Jul 31, 1998;311,5516;3,432
Aug 31, 1998;267,7782;3,69
Sep 30, 1998;272,9982;3,57
Oct 30, 1998;297,8216;3,422
Nov 30, 1998;315,7835;3,482
Dec 31, 1998;330,3228;3,505
Jan 29, 1999;336,9419;3,665
Feb 26, 1999;328,3391;3,94
Mar 31, 1999;342,9766;3,99
Apr 30, 1999;357,6575;3,951
May 31, 1999;344,8764;3,965
Jun 30, 1999;361,9091;3,91
Jul 30, 1999;360,2857;3,852
Aug 31, 1999;359,7093;3,97
