Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
31.12.1972;;;;17,9312;;;;
31.01.1973;;;;17,9734;;;;
28.02.1973;;;;18,1;;;;
31.03.1973;;;;18,2687;;;;
30.04.1973;;;;18,3953;;;;
31.05.1973;;;;18,5219;;;;
30.06.1973;;;;18,6485;;;;
31.07.1973;;;;18,6906;;;;
31.08.1973;;;;19,0282;;;;
30.09.1973;;;;19,0704;;;;
31.10.1973;;;;19,2391;;;;
30.11.1973;;;;19,3657;;;;
31.12.1973;;;;19,4923;;;;
31.01.1974;;;;19,661;;;;
28.02.1974;;;;19,9142;;;;
31.03.1974;;;;20,1673;;;;
30.04.1974;;;;20,2517;;;;
31.05.1974;;;;20,5049;;;;
30.06.1974;;;;20,6736;;;;
31.07.1974;;;;20,8424;;;;
31.08.1974;;;;21,0955;;;;
30.09.1974;;;;21,3487;;;;
31.10.1974;;;;21,5596;;;;
30.11.1974;;;;21,7284;;;;
31.12.1974;;;;21,8972;;;;
31.01.1975;;;;21,9816;;;;
28.02.1975;;;;22,1503;;;;
31.03.1975;;;;22,2347;;;;
30.04.1975;;;;22,3191;;;;
31.05.1975;;;;22,4457;;;;
30.06.1975;;;;22,6144;;;;
31.07.1975;;;;22,8676;;;;
31.08.1975;;;;22,9098;;;;
30.09.1975;;;;23,0363;;;;
31.10.1975;;;;23,1629;;;;
30.11.1975;;;;23,3317;;;;
31.12.1975;;;;23,416;;;;
31.01.1976;;;;23,4582;;;;
29.02.1976;;;;23,5426;;;;
31.03.1976;;;;23,5848;;;;
30.04.1976;;;;23,6692;;;;
31.05.1976;;;;23,838;;;;
30.06.1976;;;;23,9645;;;;
31.07.1976;;;;24,0911;;;;
31.08.1976;;;;24,2177;;;;
30.09.1976;;;;24,3021;;;;
31.10.1976;;;;24,4286;;;;
30.11.1976;;;;24,4708;;;;
31.12.1976;;;;24,5552;;;;
31.01.1977;;;;24,6818;;;;
28.02.1977;;;;24,9349;;;;
31.03.1977;;;;25,1037;;;;
30.04.1977;;;;25,3146;;;;
31.05.1977;;;;25,4412;;;;
30.06.1977;;;;25,61;;;;
31.07.1977;;;;25,7366;;;;
31.08.1977;;;;25,8209;;;;
30.09.1977;;;;25,9053;;;;
31.10.1977;;;;25,9897;;;;
30.11.1977;;;;26,1163;;;;
31.12.1977;;;;26,2007;;;;
31.01.1978;;;;26,3694;;;;
28.02.1978;;;;26,5382;;;;
31.03.1978;;;;26,7491;;;;
30.04.1978;;;;26,9601;;;;
31.05.1978;;;;27,2132;;;;
30.06.1978;;;;27,5086;;;;
31.07.1978;;;;27,7195;;;;
31.08.1978;;;;27,8461;;;;
30.09.1978;;;;28,0571;;;;
31.10.1978;;;;28,3102;;;;
30.11.1978;;;;28,4368;;;;
31.12.1978;;;;28,5634;;;;
31.01.1979;;;;28,8165;;;;
28.02.1979;;;;29,154;;;;
31.03.1979;;;;29,4494;;;;
30.04.1979;;;;29,7869;;;;
31.05.1979;;;;30,1666;;;;
30.06.1979;;;;30,5041;;;;
31.07.1979;;;;30,8417;;;;
31.08.1979;;;;31,137;;;;
30.09.1979;;;;31,4745;;;;
31.10.1979;;;;31,7277;;;;
30.11.1979;;;;32,023;;;;
31.12.1979;;;;32,3606;;;;
31.01.1980;;;;32,8247;;;;
29.02.1980;;;;33,2888;;;;
31.03.1980;;;;33,795;;;;
30.04.1980;;;;34,1748;;;;
31.05.1980;;;;34,5123;;;;
30.06.1980;;;;34,892;;;;
31.07.1980;;;;34,892;;;;
31.08.1980;;;;35,1452;;;;
30.09.1980;;;;35,4405;;;;
31.10.1980;;;;35,778;;;;
30.11.1980;;;;36,0734;;;;
31.12.1980;;;;36,4109;;;;
31.01.1981;;;;36,7062;;;;
28.02.1981;;;;37,086;;;;
31.03.1981;;;;37,3391;;;;
30.04.1981;;;;37,5922;;;;
31.05.1981;;;;37,8876;;;;
30.06.1981;;;;38,2251;;;;
31.07.1981;;;;38,647;;;;
31.08.1981;;;;38,9424;;;;
30.09.1981;;;;39,3221;;;;
31.10.1981;;;;39,4065;;;;
30.11.1981;;;;39,533;;;;
31.12.1981;;;;39,6596;;;;
31.01.1982;;;;39,7862;;;;
28.02.1982;;;;39,9128;;;;
31.03.1982;;;;39,8706;;;;
30.04.1982;;;;40,0393;;;;
31.05.1982;;;;40,419;;;;
30.06.1982;;;;40,9253;;;;
31.07.1982;;;;41,1363;;;;
31.08.1982;;;;41,2207;;;;
30.09.1982;;;;41,3051;;;;
31.10.1982;;;;41,4316;;;;
30.11.1982;;;;41,3472;;;;
