DateS;Date;;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI USA;CPI PLN
Dec 30, 1972;1972-12-01;1972-12-31;;;;17,9312;
Jan 29, 1973;1973-01-01;1973-01-31;;;;17,9734;
Feb 29, 1973;1973-02-01;1973-02-28;;;;18,1000;
Mar 31, 1973;1973-03-01;1973-03-31;;;;18,2687;
Apr 29, 1973;1973-04-01;1973-04-30;;;;18,3953;
May 31, 1973;1973-05-01;1973-05-31;;;;18,5219;
Jun 30, 1973;1973-06-01;1973-06-30;;;;18,6485;
Jul 29, 1973;1973-07-01;1973-07-31;;;;18,6906;
Aug 31, 1973;1973-08-01;1973-08-31;;;;19,0282;
Sep 30, 1973;1973-09-01;1973-09-30;;;;19,0704;
Oct 31, 1973;1973-10-01;1973-10-31;;;;19,2391;
Nov 30, 1973;1973-11-01;1973-11-30;;;;19,3657;
Dec 30, 1973;1973-12-01;1973-12-31;;;;19,4923;
Jan 29, 1974;1974-01-01;1974-01-31;;;;19,6610;
Feb 29, 1974;1974-02-01;1974-02-28;;;;19,9142;
Mar 31, 1974;1974-03-01;1974-03-31;;;;20,1673;
Apr 29, 1974;1974-04-01;1974-04-30;;;;20,2517;
May 31, 1974;1974-05-01;1974-05-31;;;;20,5049;
Jun 30, 1974;1974-06-01;1974-06-30;;;;20,6736;
Jul 29, 1974;1974-07-01;1974-07-31;;;;20,8424;
Aug 31, 1974;1974-08-01;1974-08-31;;;;21,0955;
Sep 30, 1974;1974-09-01;1974-09-30;;;;21,3487;
Oct 31, 1974;1974-10-01;1974-10-31;;;;21,5596;
Nov 30, 1974;1974-11-01;1974-11-30;;;;21,7284;
Dec 30, 1974;1974-12-01;1974-12-31;;;;21,8972;
Jan 29, 1975;1975-01-01;1975-01-31;;;;21,9816;
Feb 29, 1975;1975-02-01;1975-02-28;;;;22,1503;
Mar 31, 1975;1975-03-01;1975-03-31;;;;22,2347;
Apr 29, 1975;1975-04-01;1975-04-30;;;;22,3191;
