yyyy,cpi,gold,infl,tbill,ltyld10,ltrate,callmoney,aaa,baa,corprate,corprate.i,sp500index,sp500d12,sp500e12,vwm,vwmx,svar,bkmk,ntis,eqis,csp,cay,ik
1802,0.936,19.39,-15.73,,6.6,,,,,,,,,,12.14,,,,,,,,
1803,0.788,19.39,5.49,,6.76,,,,,,,,,,-4.78,,,,,,,,
1804,0.832,19.39,4.38,,6.9,,,,,,,,,,0.78,,,,,,,,
1805,0.868,19.39,-0.7,,7,,,,,,,,,,0.61,,,,,,,,
1806,0.862,19.39,4.22,,6.73,,,,,,,,,,10,,,,,,,,
1807,0.898,19.39,-5.4,,6.66,,,,,,,,,,2.84,,,,,,,,
1808,0.85,19.39,8.66,,6.52,,,,,,,,,,12.33,,,,,,,,
1809,0.924,19.39,-2.05,,6.4,,,,,,,,,,6.3,,,,,,,,
1810,0.905,19.39,0,,6.37,,,,,,,,,,3,,,,,,,,
1811,0.905,19.39,6.8,,6.51,,,,,,,,,,-2.6,,,,,,,,
1812,0.966,19.39,1.26,6,6.71,,,,,,,,,,8.86,,,,,,,,
1813,0.978,19.39,20.02,6,6.92,,,,,,,,,,6.35,,,,,,,,
1814,1.174,20.1,9.89,7,8.42,,,,,,,,,,-12.14,,,,,,,,
1815,1.29,21.64,-12.29,,8.03,,,,,,,,,,8.09,,,,,,,,
1816,1.131,20.95,-8.65,,7.98,,,,,,,,,,1.25,,,,,,,,
1817,1.034,19.46,-5.36,,6.41,,,,,,,,,,17.54,,,,,,,,
1818,0.978,19.39,-4.34,,6.33,,,,,,,,,,1.86,,,,,,,,
1819,0.936,19.39,0,,6.46,,,,,,,,,,-2.58,,,,,,,,
1820,0.936,19.39,-7.87,,5.63,,,,,,,,,,10.31,,,,,,,,
1821,0.862,19.39,-3.52,,4.97,,,,,,,,,,11.53,,,,,,,,
1822,0.832,19.39,3.65,,5.05,,,,,,,,,,0.23,,,,,,,,
1823,0.862,19.39,-10.65,,5.14,,,,,,,,,,5.2,,,,,,,,
1824,0.77,19.39,-7.88,,4.6,,,,,,,,,,10.43,,,,,,,,
1825,0.71,19.39,2.57,,4.69,,,,,,,,,,-0.8,,,,,,,,
1826,0.728,19.39,0,,4.88,,,,,,,,,,5.24,,,,,,,,
1827,0.728,19.39,0.83,,4.74,,,,,,,,,,1.98,,,,,,,,
1828,0.734,19.39,-4.96,,4.86,,,,,,,,,,5.24,,,,,,,,
1829,0.697,19.39,-1.85,,4.88,,,,,,,,,,4.12,,,,,,,,
1830,0.684,19.39,-0.89,,4.74,,,,,,,,,,12.88,,,,,,,,
1831,0.678,19.39,-6.26,,4.78,,,,,,,,,,8.26,,,,,,,,
1832,0.636,19.39,-0.96,5.38,4.83,,,,,,,,,,10.19,,,,,,,,
1833,0.63,19.39,-1.93,8.68,4.98,,,,,,,,,,4.23,,,,,,,,
1834,0.618,19.94,1.97,9.9,4.89,,,,,,,,,,19.48,,,,,,,,
1835,0.63,20.65,2.89,7.76,4.81,,,,,,,,,,8.6,,,,,,,,
1836,0.648,20.65,5.62,15.04,5.07,,,,,,,,,,-7.2,,,,,,,,
1837,0.684,20.65,2.77,8.13,5.19,,,,,,,,,,-2.89,,,,,,,,
1838,0.704,20.65,-2.7,7.28,4.89,,,,,,,,,,2.35,,,,,,,,
1839,0.684,20.65,0,9.08,5.15,,,,,,,,,,-7.23,,,,,,,,
1840,0.684,20.65,-7.1,4.39,5.25,,,,,,,,,,11.22,,,,,,,,
1841,0.636,20.65,0.96,5.48,5.79,,,,,,,,,,-8.32,,,,,,,,
1842,0.642,20.65,-6.62,5.25,6.65,,,,,,,,,,-14.53,,,,,,,,
1843,0.6,20.65,-9.24,2.78,5.48,,,,,,,,,,54.52,,,,,,,,
1844,0.544,20.65,1.12,4.21,5.27,,,,,,,,,,22.17,,,,,,,,
1845,0.55,20.65,1.1,5.69,5.63,,,,,,,,,,13.98,,,,,,,,
1846,0.556,20.65,1.09,7.32,6.01,,,,,,,,,,-9.97,,,,,,,,
1847,0.562,20.65,7.69,9.52,6.32,,,,,,,,,,6.39,,,,,,,,
1848,0.606,20.65,-4.14,11,6.24,,,,,,,,,,1.57,,,,,,,,
