Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-12-29,4.138,4.158,4.128,4.128
2001-01-02,4.12,4.12,4.065,4.0753
2001-01-03,4.07,4.14,4.06,4.12
2001-01-04,4.12,4.14,4.1,4.1059
2001-01-05,4.1059,4.1059,4.058,4.0793
2001-01-08,4.06,4.105,4.052,4.1005
2001-01-09,4.11,4.144,4.105,4.142
2001-01-10,4.13,4.159,4.128,4.1365
2001-01-11,4.14,4.1715,4.105,4.11
2001-01-12,4.1,4.1165,4.09,4.095
2001-01-15,4.095,4.116,4.095,4.116
2001-01-16,4.113,4.1175,4.0875,4.089
2001-01-17,4.085,4.125,4.085,4.115
2001-01-18,4.1,4.124,4.088,4.094
2001-01-19,4.085,4.1085,4.07,4.106
2001-01-22,4.105,4.155,4.105,4.105
2001-01-23,4.105,4.1075,4.0844,4.105
2001-01-24,4.1,4.129,4.095,4.12
2001-01-25,4.125,4.167,4.125,4.13
2001-01-26,4.135,4.1425,4.108,4.133
2001-01-29,4.135,4.141,4.127,4.133
2001-01-30,4.135,4.1435,4.096,4.099
2001-01-31,4.095,4.098,4.075,4.08
2001-02-01,4.06,4.068,4.02,4.03
2001-02-02,4.03,4.041,4.018,4.022
2001-02-05,4.015,4.036,4.005,4.032
2001-02-06,4.035,4.07,4.032,4.065
2001-02-07,4.065,4.087,4.047,4.047
2001-02-08,4.065,4.12,4.06,4.111
2001-02-09,4.102,4.13,4.094,4.1
2001-02-12,4.09,4.097,4.06,4.06
2001-02-13,4.065,4.091,4.06,4.087
2001-02-14,4.09,4.098,4.075,4.085
2001-02-15,4.077,4.121,4.077,4.107
2001-02-16,4.11,4.11,4.08,4.08
2001-02-19,4.087,4.104,4.075,4.085
2001-02-20,4.085,4.115,4.085,4.095
2001-02-21,4.1,4.151,4.1,4.151
2001-02-22,4.155,4.173,4.145,4.15
2001-02-23,4.142,4.145,4.12,4.125
2001-02-26,4.12,4.125,4.1,4.106
2001-02-27,4.105,4.105,4.065,4.08
2001-02-28,4.075,4.076,4.03,4.0375
2001-03-01,4.035,4.035,3.975,3.975
2001-03-02,3.983,3.99,3.955,3.985
2001-03-05,3.99,4.009,3.983,3.991
2001-03-06,3.991,4,3.955,3.965
2001-03-07,3.965,3.965,3.942,3.954
2001-03-08,3.954,3.989,3.952,3.974
2001-03-09,3.97,3.982,3.9575,3.96
2001-03-12,3.968,4.03,3.965,4.03
2001-03-13,4.027,4.075,4.027,4.07
2001-03-14,4.075,4.09,4.06,4.07
2001-03-15,4.08,4.105,4.065,4.095
2001-03-16,4.102,4.16,4.096,4.1475
2001-03-19,4.1475,4.15,4.123,4.14
2001-03-20,4.13,4.13,4.069,4.069
2001-03-21,4.069,4.123,4.065,4.12
2001-03-22,4.12,4.164,4.12,4.16
2001-03-23,4.145,4.145,4.113,4.133
