Data;Zamkniecie
Dec 29, 2000;4.128
Jan 31, 2001;4.08
Feb 28, 2001;4.0375
Mar 30, 2001;4.0903
Apr 30, 2001;3.9618
May 31, 2001;3.9824
Jun 29, 2001;4.0069
Jul 31, 2001;4.2558
Aug 31, 2001;4.239
Sep 28, 2001;4.2283
Oct 31, 2001;4.0908
Nov 30, 2001;4.0659
Dec 31, 2001;3.9623
Jan 31, 2002;4.1732
Feb 28, 2002;4.2247
Mar 29, 2002;4.1183
Apr 30, 2002;3.9918
May 31, 2002;4.0177
Jun 28, 2002;4.0537
Jul 31, 2002;4.1743
Aug 30, 2002;4.1277
Sep 30, 2002;4.1466
Oct 31, 2002;4.0306
Nov 29, 2002;4.0147
Dec 31, 2002;3.828
Jan 31, 2003;3.821
Feb 28, 2003;3.9107
Mar 31, 2003;4.1005
Apr 30, 2003;3.8115
May 30, 2003;3.7144
Jun 30, 2003;3.8988
Jul 31, 2003;3.8664
Aug 29, 2003;3.97
Sep 30, 2003;3.9468
Oct 31, 2003;4.025
Nov 28, 2003;3.902
Dec 31, 2003;3.7253
Jan 30, 2004;3.8589
Feb 27, 2004;3.9283
Mar 31, 2004;3.8645
Apr 30, 2004;4.015
May 31, 2004;3.8159
Jun 30, 2004;3.6945
Jul 30, 2004;3.633
Aug 31, 2004;3.6526
Sep 30, 2004;3.5091
Oct 29, 2004;3.3842
Nov 30, 2004;3.1521
Dec 31, 2004;2.9994
Jan 31, 2005;3.1106
Feb 28, 2005;2.9384
Mar 31, 2005;3.1445
Apr 29, 2005;3.3087
May 31, 2005;3.3612
Jun 30, 2005;3.3431
Jul 29, 2005;3.3531
Aug 31, 2005;3.2707
Sep 30, 2005;3.2369
Oct 31, 2005;3.3074
Nov 30, 2005;3.3133
Dec 30, 2005;3.2447
Jan 31, 2006;3.1457
Feb 28, 2006;3.1699
Mar 31, 2006;3.2352
Apr 28, 2006;3.0703
May 31, 2006;3.0666
Jun 30, 2006;3.1906
Jul 31, 2006;3.0912
Aug 31, 2006;3.0798
Sep 29, 2006;3.1276
Oct 31, 2006;3.0285
Nov 30, 2006;2.8761
Dec 29, 2006;2.9018
Jan 31, 2007;3.0079
Feb 28, 2007;2.969
Mar 30, 2007;2.8854
Apr 30, 2007;2.7719
May 31, 2007;2.8357
Jun 29, 2007;2.7852
Jul 31, 2007;2.7667
Aug 31, 2007;2.8059
Sep 28, 2007;2.6495
Oct 31, 2007;2.508
Nov 30, 2007;2.4568
Dec 31, 2007;2.4465
Jan 31, 2008;2.4312
Feb 29, 2008;2.3123
Mar 31, 2008;2.2266
Apr 30, 2008;2.2152
May 30, 2008;2.1686
Jun 30, 2008;2.1293
Jul 31, 2008;2.0603
Aug 29, 2008;2.2742
Sep 30, 2008;2.4161
Oct 31, 2008;2.7542
Nov 28, 2008;2.9718
Dec 31, 2008;2.9383
Jan 30, 2009;3.4706
Feb 27, 2009;3.6588
Mar 31, 2009;3.5139
Apr 30, 2009;3.3455
May 29, 2009;3.1928
Jun 30, 2009;3.172
Jul 31, 2009;2.9079
Aug 31, 2009;2.8526
Sep 30, 2009;2.8691
Oct 30, 2009;2.8859
Nov 30, 2009;2.779
Dec 31, 2009;2.8602
Jan 29, 2010;2.9069
Feb 26, 2010;2.9008
Mar 31, 2010;2.8492
Apr 30, 2010;2.9547
May 31, 2010;3.3121
Jun 30, 2010;3.3697
Jul 30, 2010;3.0673
Aug 31, 2010;3.1458
Sep 30, 2010;2.9136
Oct 29, 2010;2.8462
Nov 30, 2010;3.0841
Dec 31, 2010;2.9579
Jan 31, 2011;2.8677
Feb 28, 2011;2.8692
Mar 31, 2011;2.8386
Apr 29, 2011;2.6528
May 31, 2011;2.7491
Jun 30, 2011;2.742
Jul 29, 2011;2.7824
Aug 31, 2011;2.8646
Sep 30, 2011;3.2852
Oct 31, 2011;3.1321
Nov 30, 2011;3.346
Dec 30, 2011;3.4443
Jan 31, 2012;3.2382
Feb 29, 2012;3.0842
